,Close
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.07
297,0.07
298,0.07
299,0.07
300,0.07
301,0.07
302,0.07
303,0.06
304,0.06
305,0.06
306,0.06
307,0.06
308,0.06
309,0.06
310,0.18
311,0.06
312,0.06
313,0.06
314,0.06
315,0.06
316,0.06
317,0.06
318,0.06
319,0.06
320,0.06
321,0.06
322,0.12
323,0.13
324,0.1
325,0.12
326,0.1
327,0.1
328,0.11
329,0.11
330,0.15
331,0.19
332,0.19
333,0.2
334,0.2
335,0.24
336,0.29
337,0.37
338,0.27
339,0.25
340,0.3
341,0.28
342,0.29
343,0.29
344,0.28
345,0.28
346,0.29
347,0.28
348,0.28
349,0.25
350,0.26
351,0.23
352,0.25
353,0.2
354,0.23
355,0.23
356,0.25
357,0.25
358,0.28
359,0.27
360,0.25
361,0.27
362,0.28
363,0.3
364,0.3
365,0.3
366,0.3
367,0.32
368,0.32
369,0.33
370,0.41
371,0.4
372,0.4
373,0.34
374,0.44
375,0.44
376,0.43
377,0.42
378,0.45
379,0.5
380,0.84
381,0.88
382,0.92
383,0.9
384,1.1
385,1.09
386,1.08
387,1.05
388,1.05
389,0.95
390,0.87
391,0.95
392,0.99
393,0.95
394,0.95
395,0.94
396,0.91
397,0.91
398,0.87
399,0.92
400,0.9
401,0.89
402,0.85
403,0.79
404,0.8
405,0.9
406,0.91
407,0.86
408,0.8
409,0.8
410,0.8
411,0.71
412,0.77
413,0.77
414,0.78
415,1.0
416,1.09
417,1.09
418,1.19
419,1.2
420,1.55
421,1.7
422,1.95
423,2.7
424,4.09
425,3.49
426,3.5
427,3.7
428,3.94
429,6.07
430,8.45
431,8.55
432,8.39
433,7.34
434,6.6
435,7.45
436,7.51
437,8.92
438,8.5
439,9.5
440,10.57
441,17.41
442,19.23
443,31.91
444,35.0
445,24.99
446,20.99
447,19.96
448,17.2
449,17.35
450,15.05
451,16.75
452,17.51
453,17.52
454,17.5
455,16.49
456,15.85
457,16.5
458,15.64
459,15.68
460,14.64
461,14.1
462,14.1
463,13.69
464,14.04
465,13.94
466,13.98
467,14.4
468,14.0
469,13.8
470,13.55
471,13.1
472,11.55
473,9.8
474,12.1
475,10.5
476,10.05
477,11.89
478,11.3
479,11.81
480,11.59
481,11.49
482,10.97
483,9.11
484,9.48
485,9.0
486,8.5
487,8.59
488,7.66
489,7.32
490,6.21
491,7.08
492,5.99
493,5.23
494,5.0
495,6.8
496,5.83
497,5.66
498,5.46
499,4.99
500,5.35
501,5.16
502,5.03
503,4.93
504,4.59
505,4.26
506,4.21
507,4.11
508,3.9
509,2.9
510,2.42
511,3.3
512,3.2
513,2.88
514,3.26
515,3.65
516,3.35
517,3.3
518,3.21
519,3.03
520,3.11
521,3.0
522,3.1
523,2.69
524,2.6
525,2.3
526,2.29
527,2.38
528,2.56
529,2.5
530,2.98
531,3.14
532,3.13
533,2.93
534,3.08
535,3.04
536,3.38
537,3.3
538,3.19
539,3.23
540,3.7
541,4.11
542,3.95
543,4.39
544,4.06
545,4.33
546,5.0
547,5.5
548,5.61
549,7.22
550,7.2
551,6.89
552,7.0
553,6.75
554,7.19
555,6.95
556,6.58
557,6.39
558,6.52
559,6.2
560,5.75
561,5.6
562,5.64
563,6.15
564,5.96
565,5.71
566,5.8
567,6.0
568,5.72
569,4.88
570,4.77
571,4.33
